epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1585175444,03/25/2020 23:30:44 +01:00,5,40.4179,-79.8353,15112,Plastic ,"VERY DIFFICULT TO BREATHE ..  BURNING THROAT, EYES  SEVERE HEADACHE ",ILLEGAL BURNING AGAIN TWICE WITHIN 6 DAYS
1585177476,03/26/2020 00:04:36 +01:00,3,40.3975,-80.02,15226,Burning trash ,,
1585180860,03/26/2020 01:01:00 +01:00,3,40.3905,-80.0518,15216,Woodsmoke ,Headache throat nose issues,Why is public health allowing burning indoor fireplaces and outdoor pits when a respiratory pandemic is happening?  Someone please take a stand -inaction goung to hurt someone. 
1585182839,03/26/2020 01:33:59 +01:00,1,40.4795,-79.9288,15206,,,
1585184392,03/26/2020 01:59:52 +01:00,4,40.4339,-79.9551,15213,It smells like burning plastic throughout South Oakland,,
1585185191,03/26/2020 02:13:11 +01:00,3,40.4247,-79.8825,15218,,,
1585185248,03/26/2020 02:14:08 +01:00,1,40.4281,-79.9188,15217,,,Wow! It’s almost as if shutting things down helped to improve the air quality. 
1585187218,03/26/2020 02:46:58 +01:00,1,40.4267,-79.9473,15207,,,
1585187981,03/26/2020 02:59:41 +01:00,1,40.472,-79.9205,15206,,,
1585189001,03/26/2020 03:16:41 +01:00,2,40.4233,-79.8844,15218,Sulfur,,
1585189837,03/26/2020 03:30:37 +01:00,3,40.556,-80.0627,15237,Sulfur ,,
1585190058,03/26/2020 03:34:18 +01:00,4,40.4338,-79.8754,15218,19th century filth,,
1585191438,03/26/2020 03:57:18 +01:00,4,40.428,-79.8823,15218,It was a nice clear night spoiled by stench from ET plumage. Wind S-SSW.,,
1585197651,03/26/2020 05:40:51 +01:00,3,40.4371,-79.9232,15217,Rotten eggs,,
1585198305,03/26/2020 05:51:45 +01:00,4,40.4763,-79.9211,15206,sulfur ,,
1585202768,03/26/2020 07:06:08 +01:00,3,40.496,-79.9054,15215,Sulfuric chemical bitter ,Headache eyes nose and throat irritation ,
1585203928,03/26/2020 07:25:28 +01:00,5,40.4275,-79.92,15217,,,
1585207924,03/26/2020 08:32:04 +01:00,4,40.4203,-79.8985,15218,sulfur,headache,
1585211385,03/26/2020 09:29:45 +01:00,4,40.4978,-79.9044,15215,Sulfuric chemical bitter ,Headache eyes nose and throat irritation ,
1585213253,03/26/2020 10:00:53 +01:00,5,40.4442,-79.9275,15217,,,
1585213316,03/26/2020 10:01:56 +01:00,1,40.4116,-79.7712,15146,,,
1585213741,03/26/2020 10:09:01 +01:00,5,40.48,-79.935,15201,"Industrial, oil",,
1585215063,03/26/2020 10:31:03 +01:00,5,40.4319,-79.9219,15217,A million chili farts,Burning eyes ,
1585215150,03/26/2020 10:32:30 +01:00,1,40.3613,-80.1147,15017,,,
1585215375,03/26/2020 10:36:15 +01:00,3,40.4523,-79.9262,15232,"Sulfur, rotten eggs","Throat irritation, nausea, woke up from sleep",
1585217102,03/26/2020 11:05:02 +01:00,4,40.4599,-79.9395,15224,Industrial sulfur ,,
1585217631,03/26/2020 11:13:51 +01:00,1,40.4473,-79.8997,15208,,,
1585217888,03/26/2020 11:18:08 +01:00,4,40.4285,-79.8833,15218,Sulfur pulled into house overnight. Wind S-SSE. Currently worse inside than outside. Source ET slag quenching.,,
1585218136,03/26/2020 11:22:16 +01:00,3,40.4241,-79.9335,15217,Smoke,,
1585218692,03/26/2020 11:31:32 +01:00,5,40.4815,-79.9328,15206,Farts and hot dog water ,Headache and congestion ,
1585219202,03/26/2020 11:40:02 +01:00,5,40.4447,-79.9128,15217,Sulfurous. I can smell this from inside my home without even going on. Healthy lungs are more important than ever. Please make it stop.,,
1585220355,03/26/2020 11:59:15 +01:00,5,40.4414,-79.9369,15213,Sulfur,Sore throat.  Asthma symptoms.,
1585220428,03/26/2020 12:00:28 +01:00,4,40.4446,-79.8936,15221,,,
1585220602,03/26/2020 12:03:22 +01:00,3,40.4863,-80.0487,15212,,,
1585221049,03/26/2020 12:10:49 +01:00,5,40.4323,-79.9222,15217,Horrible,Throat burns,
1585221128,03/26/2020 12:12:08 +01:00,5,40.4424,-79.9192,15217,,,
1585221523,03/26/2020 12:18:43 +01:00,5,40.4645,-79.9273,15206,Industrial ,Sore throat,
1585221738,03/26/2020 12:22:18 +01:00,5,40.4291,-79.8968,15218,Sulfur ,"Dry eyes, nausea ",
1585221753,03/26/2020 12:22:33 +01:00,2,40.4718,-79.9196,15206,Industrial ,,
1585221824,03/26/2020 12:23:44 +01:00,3,40.4465,-79.8982,15208,,,Sulfur 
1585222045,03/26/2020 12:27:25 +01:00,3,40.4743,-79.9164,15206,Industrial,,
1585222112,03/26/2020 12:28:32 +01:00,4,40.5292,-79.9653,15116,"Industrial 
",,
1585222119,03/26/2020 12:28:39 +01:00,5,40.4332,-79.9269,15217,"Clariton coke works, us steel",,
1585222576,03/26/2020 12:36:16 +01:00,3,40.542,-79.9348,15116,Industrial Sulphur,,
1585222688,03/26/2020 12:38:08 +01:00,5,40.445,-79.9275,15217,,,
1585222733,03/26/2020 12:38:53 +01:00,5,40.4489,-79.9028,15208,Industrial ,Scratchy throat. Woke us up at 5:30am. ,Adds considerable anxiety to current fears about respiratory disease. 
1585222960,03/26/2020 12:42:40 +01:00,4,40.4529,-79.938,15232,,,
1585223011,03/26/2020 12:43:31 +01:00,5,40.451,-79.9024,15208,Sulfur,,
1585223266,03/26/2020 12:47:46 +01:00,3,40.433,-79.9091,15217,Industrial,,
1585223294,03/26/2020 12:48:14 +01:00,5,40.4547,-79.9253,15232,,,
1585223302,03/26/2020 12:48:22 +01:00,3,40.4358,-79.9224,15217,Industrial ,,
1585223698,03/26/2020 12:54:58 +01:00,4,40.4498,-79.9325,15232,Industrial smog,Hard to breathe,
1585224057,03/26/2020 13:00:57 +01:00,4,40.4666,-79.9273,15206,Rotten eggs,,
1585224142,03/26/2020 13:02:22 +01:00,5,40.4642,-79.9394,15224,Industrial,,
1585224365,03/26/2020 13:06:05 +01:00,4,40.4676,-79.9244,15206,Industrial,,
1585224430,03/26/2020 13:07:10 +01:00,3,40.4282,-79.8845,15218,Industrial,,
1585224461,03/26/2020 13:07:41 +01:00,5,40.4214,-79.9249,15217,,,
1585224469,03/26/2020 13:07:49 +01:00,5,40.4229,-79.9239,15217,,,
1585224656,03/26/2020 13:10:56 +01:00,5,40.5542,-79.8901,15238,Industrial ,Throat irritated ,
1585225130,03/26/2020 13:18:50 +01:00,3,40.4654,-79.9564,15201,That coke stank,,
1585225234,03/26/2020 13:20:34 +01:00,4,40.4301,-79.9291,15217,,,We can smell it inside
1585225528,03/26/2020 13:25:28 +01:00,5,40.4271,-79.8923,15218,,,
1585225662,03/26/2020 13:27:42 +01:00,5,40.4605,-79.9301,15206,,,
1585226303,03/26/2020 13:38:23 +01:00,4,40.4558,-79.9197,15206,,,
1585226396,03/26/2020 13:39:56 +01:00,4,40.4373,-79.9228,15217,Rotten eggs,,
1585226431,03/26/2020 13:40:31 +01:00,1,40.5306,-80.0133,15237,,,
1585226483,03/26/2020 13:41:23 +01:00,4,40.4764,-79.9261,15206,,,
1585226598,03/26/2020 13:43:18 +01:00,3,40.4335,-79.9138,15217,,,
1585226838,03/26/2020 13:47:18 +01:00,4,40.4698,-79.9179,15206,Industrial,,
1585226939,03/26/2020 13:48:59 +01:00,3,40.4249,-79.89,15218,,,
1585226987,03/26/2020 13:49:47 +01:00,4,40.4311,-79.9218,15217,,,
1585227091,03/26/2020 13:51:31 +01:00,5,40.2595,-79.9189,15025,,,
1585227290,03/26/2020 13:54:50 +01:00,3,40.4204,-79.9321,15217,,,
1585227512,03/26/2020 13:58:32 +01:00,4,40.4429,-79.9273,15217,Sulfur ,Sore throat,
1585227567,03/26/2020 13:59:27 +01:00,4,40.473,-79.9244,15206,Terrible sulfer smell,,
1585227923,03/26/2020 14:05:23 +01:00,5,40.4352,-79.8775,15221,Sulpher,,
1585227996,03/26/2020 14:06:36 +01:00,3,40.4745,-79.9155,15206,Wood smoke,,
1585228309,03/26/2020 14:11:49 +01:00,5,40.4333,-79.93,15217,Industrial ,Eyes watering ,
1585228474,03/26/2020 14:14:34 +01:00,5,40.4502,-79.9309,15232,Sulfur,,
1585228595,03/26/2020 14:16:35 +01:00,5,40.466,-79.9453,15224,Industrial,"Sinus pain, headache, nausea ",
1585228759,03/26/2020 14:19:19 +01:00,5,40.4732,-79.926,15206,,,
1585228940,03/26/2020 14:22:20 +01:00,3,40.5144,-79.9193,15215,Industrial sulfur ,,
1585229186,03/26/2020 14:26:26 +01:00,3,40.4645,-79.9518,15224,Sulfur,,
